last_function_id,last_args,reward
5,"[[1], [459]]",0
331,"[[1], [52, 49]]",0
2,"[[2], [4, 42]]",0
1,"[[59, 40]]",0
331,"[[0], [6, 14]]",0
4,"[[1], [2]]",0
4,"[[0], [4]]",0
12,"[[0], [21, 57]]",0
452,"[[0], [23, 21]]",0
2,"[[3], [28, 33]]",0
451,"[[0], [38, 22]]",0
4,"[[2], [3]]",0
4,"[[3], [6]]",0
12,"[[1], [68, 81]]",0
4,"[[0], [2]]",0
0,[],0
452,"[[1], [21, 4]]",-1
2,"[[0], [60, 20]]",0.0
0,[],0
2,"[[1], [67, 52]]",0
1,"[[4, 32]]",0
7,[[1]],0
7,[[0]],0
234,[[0]],0
451,"[[0], [50, 25]]",0
453,[[1]],0
453,[[0]],0
2,"[[1], [38, 31]]",0
7,[[0]],0
274,[[1]],0
1,"[[10, 41]]",0
453,[[1]],0
5,"[[0], [84]]",0
4,"[[1], [9]]",0
334,"[[1], [48, 15]]",0
333,"[[0], [51, 63]]",0
1,"[[52, 46]]",0
0,[],0
1,"[[35, 15]]",0
331,"[[1], [66, 28]]",0
234,[[0]],0
234,[[1]],0
334,"[[0], [21, 1]]",0
4,"[[3], [2]]",0
4,"[[2], [1]]",0
4,"[[1], [6]]",0
451,"[[0], [24, 83]]",0
5,"[[0], [194]]",0
234,[[1]],0
452,"[[0], [10, 23]]",0
334,"[[1], [23, 43]]",0
5,"[[1], [36]]",0
453,[[1]],0
451,"[[0], [45, 4]]",0
12,"[[1], [65, 20]]",0
333,"[[0], [63, 17]]",0
4,"[[2], [2]]",0
452,"[[1], [15, 21]]",0
7,[[0]],0
12,"[[1], [36, 13]]",0
7,[[0]],0
7,[[1]],0
333,"[[1], [13, 41]]",0
332,"[[0], [23, 44]]",0
2,"[[2], [16, 46]]",0
1,"[[15, 43]]",0
3,"[[1], [25, 35], [10, 54]]",0
12,"[[1], [15, 37]]",0
331,"[[0], [78, 19]]",-1
0,[],0.0
7,[[1]],0
331,"[[1], [68, 24]]",0
333,"[[0], [32, 68]]",0
3,"[[1], [20, 20], [50, 73]]",0
334,"[[1], [27, 3]]",0
4,"[[2], [5]]",0
334,"[[1], [14, 25]]",0
453,[[1]],0
274,[[1]],0
4,"[[0], [3]]",0
453,[[1]],0
333,"[[0], [52, 42]]",0
7,[[0]],0
13,"[[0], [30, 4]]",0
451,"[[0], [7, 24]]",0
2,"[[0], [54, 69]]",0
452,"[[0], [52, 30]]",0
331,"[[0], [1, 5]]",0
331,"[[0], [14, 75]]",0
3,"[[1], [13, 83], [30, 79]]",0
331,"[[0], [48, 29]]",0
7,[[0]],0
274,[[1]],0
3,"[[0], [81, 50], [10, 68]]",0
1,"[[1, 4]]",0
451,"[[1], [71, 3]]",0
5,"[[2], [497]]",0
234,[[1]],0
0,[],0
2,"[[0], [79, 39]]",0
5,"[[2], [380]]",0
7,[[0]],0
452,"[[0], [10, 18]]",0
334,"[[0], [34, 58]]",0
333,"[[0], [60, 4]]",0
333,"[[0], [39, 69]]",0
5,"[[3], [402]]",0
274,[[1]],0
451,"[[0], [62, 1]]",0
274,[[1]],0
12,"[[0], [74, 67]]",0
333,"[[1], [48, 4]]",0
0,[],0
274,[[1]],0
331,"[[0], [71, 61]]",0
2,"[[3], [70, 61]]",0
2,"[[0], [50, 45]]",0
0,[],0
3,"[[1], [61, 22], [63, 66]]",0
0,[],0
3,"[[0], [27, 23], [83, 17]]",0
4,"[[0], [7]]",0
453,[[0]],0
234,[[0]],0
0,[],0
452,"[[1], [62, 6]]",0
0,[],0
4,"[[2], [6]]",0
331,"[[0], [33, 5]]",0
332,"[[0], [45, 20]]",0
274,[[0]],0
1,"[[38, 62]]",0
334,"[[1], [49, 2]]",0
1,"[[45, 5]]",0
5,"[[2], [93]]",0
1,"[[32, 11]]",-1
